# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 71
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:25:10 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 21
BLACK 49 41
WHITE 21 29
BLACK 41 32
WHITE 11 19
BLACK 48 40
WHITE 29 36
BLACK 57 49
WHITE 36 45
BLACK 52 45
WHITE 19 26
BLACK 32 24
WHITE 13 21
BLACK 56 48
WHITE 26 34
BLACK 48 41
WHITE 34 41
BLACK 50 41
WHITE 21 29
BLACK 60 52
WHITE 29 37
BLACK 52 43
WHITE 37 46
BLACK 55 46
WHITE 14 22
BLACK 63 55
WHITE 22 30
BLACK 24 17
WHITE 8 17
BLACK 41 34
WHITE 30 38
BLACK 45 38
WHITE 17 25
BLACK 34 25
WHITE 9 17
BLACK 53 45
WHITE 15 22
BLACK 54 47
WHITE 17 24
BLACK 25 16
WHITE 22 30
BLACK 58 50
WHITE 30 39
BLACK 46 39
WHITE 24 32
BLACK 59 52
WHITE 10 18
BLACK 61 54
WHITE 32 41
BLACK 50 41
WHITE 3 11
BLACK 49 42
WHITE 18 26
BLACK 16 8
WHITE 1 8
BLACK 38 31
WHITE 26 34
BLACK 43 34
WHITE 11 19
BLACK 55 46
WHITE 8 16
BLACK 46 37
WHITE 16 24
BLACK 42 33
WHITE 24 32
BLACK 41 32
WHITE 19 26
BLACK 33 26
WHITE 4 12
BLACK 62 55
WHITE 12 21
BLACK 26 17
WHITE 5 13
BLACK 17 9
WHITE 2 9
BLACK 45 36
WHITE 21 29
BLACK 36 29
WHITE 13 21
BLACK 52 43
WHITE 21 30
BLACK 39 30
WHITE 9 17
BLACK 30 23
WHITE 6 13
BLACK 23 15
WHITE 17 24
BLACK 15 6
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:25:12 EDT 2009
