# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 27
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 08:40:17 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 8 16
BLACK 52 44
WHITE 15 23
BLACK 54 47
WHITE 14 21
BLACK 53 45
WHITE 16 24
BLACK 45 38
WHITE 10 18
BLACK 50 41
WHITE 7 14
BLACK 59 52
WHITE 18 25
BLACK 44 35
WHITE 11 19
BLACK 62 53
WHITE 9 18
BLACK 53 46
WHITE 0 9
BLACK 58 50
WHITE 6 15
BLACK 41 34
WHITE 2 11
BLACK 50 41
WHITE 9 16
BLACK 38 31
WHITE 25 32
BLACK 47 39
WHITE 3 10
BLACK 52 45
WHITE 15 22
BLACK 39 30
WHITE 32 40
BLACK 49 40
WHITE 11 20
BLACK 61 53
WHITE 18 26
BLACK 30 21
WHITE 23 30
BLACK 57 49
WHITE 30 37
BLACK 46 38
WHITE 16 25
BLACK 49 42
WHITE 22 31
BLACK 45 36
WHITE 1 9
BLACK 56 49
WHITE 14 23
BLACK 41 32
WHITE 20 29
BLACK 53 45
WHITE 31 38
BLACK 34 27
WHITE 38 47
BLACK 21 12
WHITE 26 33
BLACK 51 43
WHITE 9 17
BLACK 60 51
WHITE 13 20
BLACK 42 33
WHITE 29 36
BLACK 33 24
WHITE 20 28
BLACK 12 5
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 08:40:19 GMT 2009
