# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 166
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:41:30 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 51 44
WHITE 16 24
BLACK 44 36
WHITE 24 32
BLACK 36 28
WHITE 32 40
BLACK 49 40
WHITE 9 16
BLACK 28 20
WHITE 11 20
BLACK 40 32
WHITE 16 24
BLACK 32 25
WHITE 24 32
BLACK 52 45
WHITE 32 40
BLACK 25 17
WHITE 10 17
BLACK 45 37
WHITE 40 49
BLACK 56 49
WHITE 17 24
BLACK 37 30
WHITE 24 32
BLACK 50 42
WHITE 32 40
BLACK 30 21
WHITE 12 21
BLACK 49 40
WHITE 20 27
BLACK 42 34
WHITE 27 34
BLACK 40 32
WHITE 34 41
BLACK 55 46
WHITE 41 48
BLACK 57 48
WHITE 21 28
BLACK 32 24
WHITE 28 35
BLACK 24 17
WHITE 35 42
BLACK 17 10
WHITE 1 10
BLACK 46 39
WHITE 42 49
BLACK 58 49
WHITE 10 17
BLACK 39 31
WHITE 17 24
BLACK 31 22
WHITE 13 22
BLACK 53 46
WHITE 24 32
BLACK 54 47
WHITE 32 40
BLACK 49 40
WHITE 22 29
BLACK 46 38
WHITE 29 38
BLACK 47 38
WHITE 14 21
BLACK 60 52
WHITE 21 28
BLACK 61 53
WHITE 28 35
BLACK 38 30
WHITE 35 42
BLACK 52 44
WHITE 42 49
BLACK 30 22
WHITE 15 22
BLACK 53 45
WHITE 49 56
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:41:31 EDT 2009
