# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 113
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:08:53 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 21
BLACK 49 41
WHITE 11 19
BLACK 41 33
WHITE 19 27
BLACK 33 24
WHITE 21 29
BLACK 24 17
WHITE 10 17
BLACK 51 44
WHITE 29 37
BLACK 44 37
WHITE 27 35
BLACK 37 30
WHITE 17 25
BLACK 30 23
WHITE 14 23
BLACK 54 46
WHITE 35 43
BLACK 52 43
WHITE 25 33
BLACK 46 38
WHITE 15 22
BLACK 38 29
WHITE 22 29
BLACK 43 35
WHITE 23 31
BLACK 35 28
WHITE 33 42
BLACK 59 51
WHITE 42 51
BLACK 60 51
WHITE 29 38
BLACK 28 19
WHITE 31 39
BLACK 56 49
WHITE 38 45
BLACK 19 12
WHITE 3 12
BLACK 55 46
WHITE 39 46
BLACK 53 46
WHITE 45 53
BLACK 62 53
WHITE 13 21
BLACK 46 38
WHITE 21 29
BLACK 38 29
WHITE 8 16
BLACK 29 20
WHITE 12 19
BLACK 61 54
WHITE 19 27
BLACK 20 13
WHITE 4 13
BLACK 48 40
WHITE 16 24
BLACK 40 33
WHITE 27 35
BLACK 33 24
WHITE 35 44
BLACK 53 44
WHITE 13 22
BLACK 24 16
WHITE 9 16
BLACK 44 36
WHITE 22 30
BLACK 36 28
WHITE 16 24
BLACK 28 20
WHITE 5 14
BLACK 63 55
WHITE 30 38
BLACK 49 42
WHITE 24 33
BLACK 42 33
WHITE 14 21
BLACK 57 49
WHITE 38 46
BLACK 55 46
WHITE 2 11
BLACK 20 11
WHITE 21 29
BLACK 11 3
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 17:08:55 EDT 2009
