# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 165
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:41:11 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 13 22
BLACK 40 32
WHITE 20 28
BLACK 32 24
WHITE 11 20
BLACK 24 16
WHITE 9 16
BLACK 49 40
WHITE 20 27
BLACK 40 32
WHITE 28 36
BLACK 32 24
WHITE 36 44
BLACK 51 44
WHITE 27 35
BLACK 44 35
WHITE 22 30
BLACK 24 17
WHITE 10 17
BLACK 35 26
WHITE 17 26
BLACK 50 41
WHITE 26 35
BLACK 41 32
WHITE 35 43
BLACK 52 43
WHITE 16 24
BLACK 32 25
WHITE 24 32
BLACK 25 16
WHITE 32 40
BLACK 16 9
WHITE 2 9
BLACK 43 34
WHITE 40 48
BLACK 57 48
WHITE 14 22
BLACK 34 25
WHITE 30 39
BLACK 25 16
WHITE 9 16
BLACK 48 40
WHITE 22 29
BLACK 40 32
WHITE 39 47
BLACK 54 47
WHITE 29 38
BLACK 47 38
WHITE 16 25
BLACK 32 25
WHITE 15 22
BLACK 25 16
WHITE 22 30
BLACK 16 9
WHITE 0 9
BLACK 38 29
WHITE 30 37
BLACK 29 20
WHITE 37 44
BLACK 53 44
WHITE 9 18
BLACK 20 11
WHITE 4 11
BLACK 44 35
WHITE 11 20
BLACK 35 26
WHITE 20 28
BLACK 26 17
WHITE 8 17
BLACK 55 46
WHITE 28 36
BLACK 46 37
WHITE 18 27
BLACK 37 28
WHITE 36 44
BLACK 28 19
WHITE 44 53
BLACK 60 53
WHITE 5 14
BLACK 19 10
WHITE 3 10
BLACK 53 44
WHITE 27 34
BLACK 44 35
WHITE 34 42
BLACK 35 26
WHITE 17 26
BLACK 56 48
WHITE 42 50
BLACK 59 50
WHITE 10 19
BLACK 48 40
WHITE 26 33
BLACK 40 33
WHITE 19 27
BLACK 33 24
WHITE 27 35
BLACK 24 16
WHITE 14 22
BLACK 16 8
WHITE 1 8
BLACK 50 41
WHITE 22 29
BLACK 41 32
WHITE 8 17
BLACK 32 24
WHITE 17 24
BLACK 58 49
WHITE 35 42
BLACK 49 42
WHITE 29 37
BLACK 42 33
WHITE 24 33
BLACK 61 52
WHITE 33 40
BLACK 52 43
WHITE 40 48
BLACK 43 34
WHITE 48 56
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:41:13 EDT 2009
