# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 73
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:25:49 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 52 43
WHITE 13 21
BLACK 49 41
WHITE 20 28
BLACK 41 32
WHITE 28 37
BLACK 60 52
WHITE 37 45
BLACK 52 45
WHITE 21 29
BLACK 58 49
WHITE 29 36
BLACK 43 36
WHITE 10 18
BLACK 32 25
WHITE 18 25
BLACK 59 52
WHITE 25 34
BLACK 36 28
WHITE 14 21
BLACK 28 21
WHITE 9 17
BLACK 21 14
WHITE 5 14
BLACK 52 43
WHITE 34 43
BLACK 50 43
WHITE 17 26
BLACK 45 37
WHITE 26 34
BLACK 43 34
WHITE 14 22
BLACK 57 50
WHITE 11 19
BLACK 37 30
WHITE 22 31
BLACK 30 21
WHITE 19 26
BLACK 21 14
WHITE 7 14
BLACK 61 52
WHITE 31 38
BLACK 49 40
WHITE 26 35
BLACK 34 26
WHITE 4 12
BLACK 26 18
WHITE 35 43
BLACK 50 43
WHITE 38 46
BLACK 55 46
WHITE 12 20
BLACK 62 55
WHITE 20 29
BLACK 18 9
WHITE 2 9
BLACK 40 33
WHITE 29 36
BLACK 43 36
WHITE 14 21
BLACK 33 26
WHITE 21 28
BLACK 52 43
WHITE 28 35
BLACK 56 49
WHITE 35 42
BLACK 51 42
WHITE 9 17
BLACK 26 17
WHITE 8 17
BLACK 36 29
WHITE 17 24
BLACK 29 22
WHITE 15 22
BLACK 46 39
WHITE 24 33
BLACK 42 33
WHITE 22 30
BLACK 39 30
WHITE 6 14
BLACK 54 46
WHITE 14 22
BLACK 63 54
WHITE 3 11
BLACK 55 47
WHITE 22 31
BLACK 30 22
WHITE 31 39
BLACK 46 39
WHITE 1 9
BLACK 22 15
WHITE 11 19
BLACK 15 6
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:25:51 EDT 2009
