# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 129
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:20:38 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 21
BLACK 48 40
WHITE 21 29
BLACK 40 32
WHITE 29 38
BLACK 32 24
WHITE 11 19
BLACK 24 16
WHITE 9 16
BLACK 49 40
WHITE 38 47
BLACK 54 47
WHITE 19 27
BLACK 40 32
WHITE 16 25
BLACK 32 25
WHITE 27 36
BLACK 25 16
WHITE 36 44
BLACK 51 44
WHITE 13 21
BLACK 16 9
WHITE 0 9
BLACK 44 35
WHITE 21 29
BLACK 35 26
WHITE 10 17
BLACK 26 17
WHITE 8 17
BLACK 47 38
WHITE 29 38
BLACK 50 41
WHITE 17 26
BLACK 41 32
WHITE 14 21
BLACK 32 24
WHITE 38 47
BLACK 24 16
WHITE 9 16
BLACK 52 43
WHITE 47 54
BLACK 61 54
WHITE 26 33
BLACK 43 34
WHITE 33 41
BLACK 34 25
WHITE 16 25
BLACK 53 44
WHITE 15 22
BLACK 44 35
WHITE 41 49
BLACK 56 49
WHITE 22 31
BLACK 35 26
WHITE 25 34
BLACK 26 17
WHITE 34 41
BLACK 17 8
WHITE 41 48
BLACK 8 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:20:39 EDT 2009
