# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 34
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 09:41:33 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 11 20
BLACK 49 40
WHITE 4 11
BLACK 51 43
WHITE 14 23
BLACK 43 36
WHITE 10 18
BLACK 52 45
WHITE 12 19
BLACK 45 38
WHITE 7 14
BLACK 58 49
WHITE 18 27
BLACK 55 46
WHITE 9 18
BLACK 49 41
WHITE 19 26
BLACK 53 45
WHITE 11 19
BLACK 41 34
WHITE 18 25
BLACK 63 55
WHITE 5 12
BLACK 50 42
WHITE 12 21
BLACK 42 33
WHITE 21 30
BLACK 40 32
WHITE 1 9
BLACK 46 37
WHITE 2 10
BLACK 34 27
WHITE 3 12
BLACK 59 51
WHITE 30 37
BLACK 57 50
WHITE 14 22
BLACK 27 18
WHITE 19 28
BLACK 61 52
WHITE 37 44
BLACK 52 43
WHITE 10 17
BLACK 45 37
WHITE 44 51
BLACK 32 25
WHITE 23 31
BLACK 62 53
WHITE 51 58
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 09:41:34 GMT 2009
