# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 117
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:10:39 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 21
BLACK 55 46
WHITE 13 22
BLACK 46 39
WHITE 22 30
BLACK 39 30
WHITE 21 30
BLACK 51 43
WHITE 30 39
BLACK 43 36
WHITE 39 46
BLACK 53 46
WHITE 10 17
BLACK 36 29
WHITE 14 21
BLACK 29 22
WHITE 15 22
BLACK 46 38
WHITE 21 28
BLACK 38 31
WHITE 22 31
BLACK 49 40
WHITE 28 36
BLACK 40 33
WHITE 36 45
BLACK 52 45
WHITE 17 24
BLACK 33 24
WHITE 31 38
BLACK 45 38
WHITE 11 20
BLACK 61 52
WHITE 20 28
BLACK 24 17
WHITE 28 36
BLACK 17 8
WHITE 1 8
BLACK 38 31
WHITE 9 17
BLACK 58 51
WHITE 36 44
BLACK 51 44
WHITE 4 12
BLACK 63 55
WHITE 17 25
BLACK 31 23
WHITE 3 11
BLACK 62 53
WHITE 25 33
BLACK 59 51
WHITE 33 41
BLACK 50 41
WHITE 12 21
BLACK 23 14
WHITE 5 14
BLACK 41 33
WHITE 21 29
BLACK 33 25
WHITE 29 36
BLACK 56 49
WHITE 36 43
BLACK 52 43
WHITE 11 19
BLACK 25 16
WHITE 19 26
BLACK 48 40
WHITE 8 17
BLACK 16 8
WHITE 26 35
BLACK 8 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 17:10:40 EDT 2009
