# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 161
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:39:52 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 48 40
WHITE 13 22
BLACK 40 32
WHITE 19 27
BLACK 32 24
WHITE 27 34
BLACK 24 16
WHITE 9 16
BLACK 49 40
WHITE 22 30
BLACK 40 32
WHITE 30 38
BLACK 32 24
WHITE 34 42
BLACK 51 42
WHITE 12 20
BLACK 24 17
WHITE 10 17
BLACK 42 33
WHITE 38 47
BLACK 54 47
WHITE 20 28
BLACK 33 24
WHITE 17 24
BLACK 47 38
WHITE 24 32
BLACK 38 29
WHITE 32 41
BLACK 50 41
WHITE 28 36
BLACK 29 20
WHITE 36 43
BLACK 52 43
WHITE 16 25
BLACK 20 11
WHITE 2 11
BLACK 41 32
WHITE 25 32
BLACK 43 34
WHITE 32 40
BLACK 34 25
WHITE 11 20
BLACK 25 16
WHITE 14 22
BLACK 16 9
WHITE 0 9
BLACK 53 44
WHITE 40 48
BLACK 57 48
WHITE 22 30
BLACK 44 35
WHITE 20 28
BLACK 35 28
WHITE 9 17
BLACK 28 19
WHITE 30 39
BLACK 19 10
WHITE 3 10
BLACK 48 40
WHITE 39 46
BLACK 55 46
WHITE 17 25
BLACK 40 32
WHITE 25 32
BLACK 46 37
WHITE 15 22
BLACK 37 28
WHITE 22 30
BLACK 28 19
WHITE 10 19
BLACK 56 48
WHITE 32 40
BLACK 48 41
WHITE 40 49
BLACK 58 49
WHITE 30 39
BLACK 41 32
WHITE 39 47
BLACK 32 24
WHITE 8 16
BLACK 24 17
WHITE 19 27
BLACK 17 8
WHITE 1 8
BLACK 49 40
WHITE 27 35
BLACK 40 32
WHITE 47 55
BLACK 62 55
WHITE 16 24
BLACK 32 25
WHITE 35 44
BLACK 25 16
WHITE 24 33
BLACK 16 9
WHITE 44 53
BLACK 60 53
WHITE 33 40
BLACK 9 0
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:39:54 EDT 2009
