# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 100
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:03:40 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 10 19
BLACK 52 43
WHITE 19 28
BLACK 53 45
WHITE 28 36
BLACK 43 36
WHITE 8 17
BLACK 36 29
WHITE 17 24
BLACK 29 21
WHITE 12 21
BLACK 45 37
WHITE 24 32
BLACK 51 42
WHITE 32 40
BLACK 49 40
WHITE 21 28
BLACK 37 28
WHITE 13 22
BLACK 28 20
WHITE 11 20
BLACK 42 34
WHITE 20 28
BLACK 34 26
WHITE 28 36
BLACK 26 18
WHITE 9 18
BLACK 40 33
WHITE 36 44
BLACK 54 46
WHITE 1 10
BLACK 46 37
WHITE 0 8
BLACK 37 28
WHITE 44 53
BLACK 60 53
WHITE 18 27
BLACK 28 21
WHITE 14 21
BLACK 33 25
WHITE 5 13
BLACK 25 16
WHITE 2 9
BLACK 55 46
WHITE 9 16
BLACK 50 42
WHITE 27 34
BLACK 46 38
WHITE 34 41
BLACK 48 41
WHITE 22 30
BLACK 38 31
WHITE 30 38
BLACK 31 22
WHITE 13 22
BLACK 42 34
WHITE 38 46
BLACK 53 46
WHITE 21 29
BLACK 34 26
WHITE 29 38
BLACK 26 19
WHITE 10 19
BLACK 46 37
WHITE 38 46
BLACK 41 33
WHITE 3 12
BLACK 37 30
WHITE 46 54
BLACK 61 54
WHITE 19 26
BLACK 33 26
WHITE 22 29
BLACK 54 46
WHITE 29 36
BLACK 30 22
WHITE 15 22
BLACK 26 18
WHITE 36 43
BLACK 18 11
WHITE 4 11
BLACK 59 50
WHITE 43 50
BLACK 57 50
WHITE 16 24
BLACK 46 38
WHITE 24 33
BLACK 58 49
WHITE 33 40
BLACK 49 40
WHITE 22 30
BLACK 38 31
WHITE 30 37
BLACK 31 23
WHITE 6 15
BLACK 40 32
WHITE 37 46
BLACK 23 14
WHITE 7 14
BLACK 32 24
WHITE 46 53
BLACK 62 53
WHITE 12 20
BLACK 24 17
WHITE 8 17
BLACK 50 43
WHITE 20 28
BLACK 43 35
WHITE 28 35
BLACK 53 45
WHITE 35 43
BLACK 45 37
WHITE 43 50
BLACK 63 55
WHITE 50 58
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 17:03:43 EDT 2009
