# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 29
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 09:08:59 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 8 16
BLACK 49 40
WHITE 9 17
BLACK 52 45
WHITE 17 25
BLACK 51 44
WHITE 1 9
BLACK 50 41
WHITE 11 20
BLACK 40 33
WHITE 13 21
BLACK 57 49
WHITE 10 18
BLACK 44 35
WHITE 20 28
BLACK 49 40
WHITE 4 11
BLACK 59 51
WHITE 21 30
BLACK 51 44
WHITE 16 24
BLACK 44 37
WHITE 12 20
BLACK 37 28
WHITE 24 32
BLACK 28 21
WHITE 9 16
BLACK 45 38
WHITE 15 23
BLACK 55 47
WHITE 18 27
BLACK 53 44
WHITE 25 34
BLACK 61 52
WHITE 30 37
BLACK 38 29
WHITE 16 24
BLACK 41 34
WHITE 20 29
BLACK 47 38
WHITE 11 19
BLACK 54 46
WHITE 24 33
BLACK 62 55
WHITE 3 10
BLACK 38 29
WHITE 0 8
BLACK 40 33
WHITE 14 22
BLACK 33 24
WHITE 6 13
BLACK 52 43
WHITE 2 9
BLACK 34 26
WHITE 9 16
BLACK 43 36
WHITE 5 14
BLACK 44 37
WHITE 23 31
BLACK 58 50
WHITE 32 40
BLACK 63 54
WHITE 31 38
BLACK 26 17
WHITE 38 47
BLACK 21 12
WHITE 22 29
BLACK 46 39
WHITE 29 36
BLACK 17 10
WHITE 19 28
BLACK 37 28
WHITE 27 34
BLACK 48 41
WHITE 13 22
BLACK 10 2
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 09:09:00 GMT 2009
