# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 116
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:09:55 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 15 22
BLACK 52 43
WHITE 22 31
BLACK 43 35
WHITE 31 39
BLACK 35 28
WHITE 6 15
BLACK 28 19
WHITE 12 19
BLACK 51 43
WHITE 39 46
BLACK 53 46
WHITE 19 28
BLACK 46 38
WHITE 4 12
BLACK 38 30
WHITE 28 37
BLACK 30 21
WHITE 14 21
BLACK 43 34
WHITE 37 46
BLACK 50 43
WHITE 46 55
BLACK 62 55
WHITE 21 30
BLACK 34 27
WHITE 30 39
BLACK 27 19
WHITE 10 19
BLACK 49 41
WHITE 39 47
BLACK 41 32
WHITE 47 54
BLACK 63 54
WHITE 19 26
BLACK 32 25
WHITE 26 34
BLACK 43 34
WHITE 15 23
BLACK 25 18
WHITE 9 18
BLACK 34 25
WHITE 18 25
BLACK 54 46
WHITE 25 32
BLACK 46 38
WHITE 32 41
BLACK 48 41
WHITE 23 30
BLACK 38 29
WHITE 30 37
BLACK 29 22
WHITE 13 22
BLACK 41 33
WHITE 37 45
BLACK 33 26
WHITE 45 54
BLACK 61 54
WHITE 22 29
BLACK 26 18
WHITE 11 18
BLACK 54 46
WHITE 29 36
BLACK 46 38
WHITE 36 45
BLACK 38 29
WHITE 45 54
BLACK 29 21
WHITE 54 61
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 17:09:57 EDT 2009
