# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 107
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:06:10 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 50 41
WHITE 11 19
BLACK 41 32
WHITE 10 18
BLACK 32 25
WHITE 18 25
BLACK 49 41
WHITE 25 33
BLACK 41 32
WHITE 33 41
BLACK 48 41
WHITE 20 28
BLACK 32 25
WHITE 19 27
BLACK 56 49
WHITE 28 36
BLACK 25 16
WHITE 9 16
BLACK 41 34
WHITE 27 34
BLACK 49 41
WHITE 34 41
BLACK 52 45
WHITE 36 44
BLACK 53 44
WHITE 41 50
BLACK 59 50
WHITE 16 25
BLACK 44 36
WHITE 25 34
BLACK 36 28
WHITE 34 42
BLACK 51 42
WHITE 13 21
BLACK 28 21
WHITE 14 21
BLACK 42 35
WHITE 21 29
BLACK 35 26
WHITE 29 38
BLACK 45 38
WHITE 15 22
BLACK 26 18
WHITE 22 30
BLACK 62 53
WHITE 4 13
BLACK 61 52
WHITE 30 39
BLACK 60 51
WHITE 13 22
BLACK 18 11
WHITE 2 11
BLACK 38 30
WHITE 39 47
BLACK 54 47
WHITE 22 29
BLACK 57 48
WHITE 11 19
BLACK 30 21
WHITE 3 11
BLACK 58 49
WHITE 29 37
BLACK 21 12
WHITE 5 12
BLACK 47 38
WHITE 37 45
BLACK 52 45
WHITE 19 28
BLACK 38 29
WHITE 28 36
BLACK 45 36
WHITE 11 20
BLACK 29 20
WHITE 12 19
BLACK 48 40
WHITE 19 26
BLACK 20 11
WHITE 1 9
BLACK 11 4
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 17:06:12 EDT 2009
