# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 132
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:22:06 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 45
WHITE 16 24
BLACK 51 43
WHITE 24 32
BLACK 43 35
WHITE 32 40
BLACK 49 40
WHITE 9 16
BLACK 53 46
WHITE 16 24
BLACK 45 36
WHITE 24 32
BLACK 35 26
WHITE 32 41
BLACK 50 41
WHITE 10 17
BLACK 26 17
WHITE 11 18
BLACK 17 8
WHITE 1 8
BLACK 41 32
WHITE 18 25
BLACK 32 25
WHITE 8 16
BLACK 25 18
WHITE 16 24
BLACK 18 9
WHITE 0 9
BLACK 40 32
WHITE 24 33
BLACK 32 24
WHITE 33 40
BLACK 24 17
WHITE 40 49
BLACK 58 49
WHITE 9 16
BLACK 17 9
WHITE 2 9
BLACK 36 28
WHITE 16 24
BLACK 28 20
WHITE 13 20
BLACK 46 38
WHITE 24 32
BLACK 54 46
WHITE 32 40
BLACK 49 40
WHITE 20 27
BLACK 38 31
WHITE 27 34
BLACK 31 23
WHITE 14 23
BLACK 46 39
WHITE 34 41
BLACK 48 41
WHITE 23 30
BLACK 39 30
WHITE 9 16
BLACK 30 21
WHITE 12 21
BLACK 41 33
WHITE 16 24
BLACK 33 24
WHITE 21 28
BLACK 24 17
WHITE 28 35
BLACK 17 8
WHITE 35 42
BLACK 40 32
WHITE 42 49
BLACK 56 49
WHITE 15 22
BLACK 32 24
WHITE 22 29
BLACK 24 16
WHITE 29 36
BLACK 8 0
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:22:07 EDT 2009
