# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 88
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:57:12 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 13 22
BLACK 54 45
WHITE 22 30
BLACK 45 37
WHITE 30 37
BLACK 55 46
WHITE 37 45
BLACK 52 45
WHITE 12 20
BLACK 45 37
WHITE 20 27
BLACK 37 28
WHITE 27 35
BLACK 28 21
WHITE 10 18
BLACK 21 14
WHITE 5 14
BLACK 53 45
WHITE 18 26
BLACK 62 55
WHITE 14 22
BLACK 50 41
WHITE 26 34
BLACK 41 34
WHITE 35 43
BLACK 59 50
WHITE 43 50
BLACK 57 50
WHITE 11 18
BLACK 34 27
WHITE 18 27
BLACK 46 39
WHITE 9 18
BLACK 39 30
WHITE 22 29
BLACK 30 21
WHITE 27 36
BLACK 45 36
WHITE 29 36
BLACK 21 12
WHITE 3 12
BLACK 50 43
WHITE 36 43
BLACK 51 44
WHITE 18 27
BLACK 44 36
WHITE 27 36
BLACK 49 40
WHITE 36 45
BLACK 40 32
WHITE 43 51
BLACK 58 51
WHITE 12 20
BLACK 61 53
WHITE 20 28
BLACK 51 44
WHITE 45 54
BLACK 63 54
WHITE 15 23
BLACK 32 25
WHITE 28 36
BLACK 25 16
WHITE 36 43
BLACK 16 9
WHITE 2 9
BLACK 44 35
WHITE 43 50
BLACK 35 27
WHITE 50 59
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 16:57:14 EDT 2009
