# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 101
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:04:14 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 52 43
WHITE 20 28
BLACK 43 36
WHITE 14 23
BLACK 36 29
WHITE 28 36
BLACK 29 21
WHITE 11 19
BLACK 61 52
WHITE 36 45
BLACK 54 45
WHITE 19 27
BLACK 55 46
WHITE 27 35
BLACK 21 14
WHITE 5 14
BLACK 45 38
WHITE 35 43
BLACK 52 43
WHITE 23 30
BLACK 38 31
WHITE 30 37
BLACK 46 37
WHITE 10 18
BLACK 63 55
WHITE 15 23
BLACK 31 22
WHITE 13 22
BLACK 37 29
WHITE 22 29
BLACK 43 35
WHITE 18 25
BLACK 35 27
WHITE 29 37
BLACK 27 20
WHITE 37 44
BLACK 51 44
WHITE 25 33
BLACK 59 51
WHITE 23 31
BLACK 51 43
WHITE 33 41
BLACK 50 41
WHITE 31 39
BLACK 55 46
WHITE 39 46
BLACK 53 46
WHITE 14 23
BLACK 58 51
WHITE 23 31
BLACK 62 55
WHITE 8 16
BLACK 20 12
WHITE 3 12
BLACK 41 32
WHITE 16 24
BLACK 60 53
WHITE 31 38
BLACK 32 25
WHITE 9 16
BLACK 25 16
WHITE 38 47
BLACK 48 41
WHITE 24 32
BLACK 41 32
WHITE 12 20
BLACK 57 48
WHITE 20 28
BLACK 16 8
WHITE 1 8
BLACK 32 24
WHITE 28 35
BLACK 44 35
WHITE 8 16
BLACK 24 17
WHITE 47 54
BLACK 17 10
WHITE 54 61
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 17:04:15 EDT 2009
