# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 142
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:28:18 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 51 44
WHITE 16 24
BLACK 44 37
WHITE 0 8
BLACK 52 43
WHITE 24 32
BLACK 37 29
WHITE 8 16
BLACK 43 36
WHITE 1 8
BLACK 29 22
WHITE 13 22
BLACK 50 42
WHITE 4 13
BLACK 36 28
WHITE 8 17
BLACK 28 20
WHITE 11 20
BLACK 42 34
WHITE 2 11
BLACK 53 44
WHITE 9 18
BLACK 49 41
WHITE 32 41
BLACK 48 41
WHITE 16 24
BLACK 34 25
WHITE 18 25
BLACK 44 37
WHITE 24 32
BLACK 41 32
WHITE 25 32
BLACK 54 46
WHITE 10 18
BLACK 46 38
WHITE 3 10
BLACK 37 29
WHITE 20 29
BLACK 38 29
WHITE 22 29
BLACK 61 53
WHITE 10 19
BLACK 53 45
WHITE 11 20
BLACK 55 47
WHITE 12 21
BLACK 45 36
WHITE 29 36
BLACK 47 39
WHITE 5 12
BLACK 39 31
WHITE 13 22
BLACK 31 22
WHITE 15 22
BLACK 60 52
WHITE 6 13
BLACK 52 44
WHITE 7 15
BLACK 44 35
WHITE 14 23
BLACK 59 51
WHITE 17 24
BLACK 51 44
WHITE 18 25
BLACK 44 37
WHITE 19 26
BLACK 35 26
WHITE 12 19
BLACK 26 19
WHITE 32 40
BLACK 19 10
WHITE 20 27
BLACK 10 2
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:28:20 EDT 2009
