# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 143
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:28:47 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 48 40
WHITE 12 20
BLACK 40 32
WHITE 20 29
BLACK 56 48
WHITE 29 37
BLACK 32 24
WHITE 19 27
BLACK 48 40
WHITE 37 44
BLACK 51 44
WHITE 13 20
BLACK 57 48
WHITE 20 28
BLACK 58 51
WHITE 28 37
BLACK 44 37
WHITE 27 36
BLACK 48 41
WHITE 36 45
BLACK 52 45
WHITE 14 22
BLACK 59 52
WHITE 22 30
BLACK 37 30
WHITE 10 18
BLACK 49 42
WHITE 9 17
BLACK 24 17
WHITE 18 26
BLACK 17 8
WHITE 1 8
BLACK 50 43
WHITE 15 23
BLACK 30 23
WHITE 8 17
BLACK 51 44
WHITE 26 34
BLACK 41 34
WHITE 4 12
BLACK 60 51
WHITE 17 25
BLACK 34 25
WHITE 12 20
BLACK 53 46
WHITE 20 29
BLACK 61 53
WHITE 5 13
BLACK 54 47
WHITE 3 11
BLACK 62 54
WHITE 29 37
BLACK 44 37
WHITE 13 20
BLACK 51 44
WHITE 11 18
BLACK 25 18
WHITE 20 29
BLACK 40 32
WHITE 2 9
BLACK 18 9
WHITE 29 38
BLACK 9 0
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:28:48 EDT 2009
