# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 153
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:32:07 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 11 19
BLACK 40 32
WHITE 13 21
BLACK 56 48
WHITE 19 28
BLACK 32 24
WHITE 28 36
BLACK 48 40
WHITE 20 28
BLACK 57 48
WHITE 36 45
BLACK 52 45
WHITE 14 22
BLACK 59 52
WHITE 21 29
BLACK 48 41
WHITE 28 37
BLACK 49 42
WHITE 37 46
BLACK 53 46
WHITE 29 37
BLACK 46 37
WHITE 10 18
BLACK 58 49
WHITE 18 26
BLACK 60 53
WHITE 26 33
BLACK 40 33
WHITE 22 29
BLACK 49 40
WHITE 9 17
BLACK 24 17
WHITE 8 17
BLACK 33 24
WHITE 17 24
BLACK 37 28
WHITE 15 23
BLACK 50 43
WHITE 24 32
BLACK 41 32
WHITE 29 37
BLACK 51 44
WHITE 37 44
BLACK 53 44
WHITE 23 31
BLACK 61 53
WHITE 31 38
BLACK 45 38
WHITE 5 14
BLACK 52 45
WHITE 14 21
BLACK 28 21
WHITE 4 12
BLACK 21 12
WHITE 3 12
BLACK 32 24
WHITE 12 20
BLACK 53 46
WHITE 2 11
BLACK 62 53
WHITE 6 14
BLACK 54 47
WHITE 20 29
BLACK 38 29
WHITE 11 19
BLACK 63 54
WHITE 14 22
BLACK 29 22
WHITE 1 9
BLACK 40 32
WHITE 0 8
BLACK 42 33
WHITE 19 26
BLACK 33 26
WHITE 9 17
BLACK 24 17
WHITE 8 17
BLACK 26 17
WHITE 7 14
BLACK 43 34
WHITE 14 23
BLACK 44 35
WHITE 23 31
BLACK 53 44
WHITE 31 38
BLACK 45 38
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:32:09 EDT 2009
