# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 24
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 08:31:54 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 12 21
BLACK 53 44
WHITE 11 20
BLACK 50 42
WHITE 9 18
BLACK 55 46
WHITE 5 12
BLACK 46 37
WHITE 20 29
BLACK 42 33
WHITE 8 16
BLACK 33 24
WHITE 29 36
BLACK 62 53
WHITE 14 22
BLACK 37 28
WHITE 18 25
BLACK 28 19
WHITE 12 20
BLACK 53 46
WHITE 21 29
BLACK 51 42
WHITE 20 28
BLACK 46 37
WHITE 0 8
BLACK 60 51
WHITE 1 9
BLACK 37 30
WHITE 4 12
BLACK 49 40
WHITE 15 23
BLACK 42 33
WHITE 25 34
BLACK 44 35
WHITE 3 11
BLACK 59 50
WHITE 11 18
BLACK 33 26
WHITE 36 44
BLACK 50 42
WHITE 34 41
BLACK 63 55
WHITE 13 20
BLACK 48 41
WHITE 7 15
BLACK 26 17
WHITE 22 31
BLACK 58 50
WHITE 28 35
BLACK 56 49
WHITE 29 37
BLACK 50 43
WHITE 12 21
BLACK 41 33
WHITE 37 45
BLACK 51 44
WHITE 10 19
BLACK 52 45
WHITE 21 28
BLACK 57 48
WHITE 20 29
BLACK 44 36
WHITE 6 13
BLACK 17 10
WHITE 31 39
BLACK 30 23
WHITE 15 22
BLACK 54 46
WHITE 39 47
BLACK 42 35
WHITE 13 20
BLACK 24 17
WHITE 28 37
BLACK 45 38
WHITE 19 27
BLACK 36 28
WHITE 18 25
BLACK 61 52
WHITE 22 31
BLACK 33 24
WHITE 8 17
BLACK 46 37
WHITE 25 34
BLACK 40 32
WHITE 27 36
BLACK 10 1
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 08:31:55 GMT 2009
