# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 98
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:59:40 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 13 22
BLACK 49 40
WHITE 10 18
BLACK 40 32
WHITE 18 25
BLACK 32 25
WHITE 12 20
BLACK 25 16
WHITE 9 16
BLACK 51 43
WHITE 20 27
BLACK 43 34
WHITE 27 34
BLACK 52 43
WHITE 34 43
BLACK 50 43
WHITE 22 30
BLACK 43 36
WHITE 30 38
BLACK 36 27
WHITE 11 18
BLACK 27 18
WHITE 8 17
BLACK 18 11
WHITE 4 11
BLACK 54 45
WHITE 38 46
BLACK 55 46
WHITE 16 24
BLACK 46 39
WHITE 24 32
BLACK 39 30
WHITE 17 26
BLACK 30 22
WHITE 32 40
BLACK 22 15
WHITE 6 15
BLACK 45 37
WHITE 40 49
BLACK 58 49
WHITE 26 35
BLACK 37 30
WHITE 14 23
BLACK 30 23
WHITE 15 22
BLACK 23 14
WHITE 5 14
BLACK 48 40
WHITE 35 43
BLACK 40 32
WHITE 43 51
BLACK 60 51
WHITE 3 12
BLACK 32 25
WHITE 22 30
BLACK 25 18
WHITE 11 18
BLACK 59 50
WHITE 30 37
BLACK 51 43
WHITE 18 27
BLACK 50 41
WHITE 27 35
BLACK 49 40
WHITE 12 20
BLACK 56 48
WHITE 35 42
BLACK 43 36
WHITE 42 50
BLACK 57 50
WHITE 37 45
BLACK 41 34
WHITE 20 28
BLACK 61 54
WHITE 45 54
BLACK 63 54
WHITE 14 22
BLACK 36 27
WHITE 22 29
BLACK 27 20
WHITE 2 10
BLACK 20 12
WHITE 28 36
BLACK 12 4
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:59:41 EDT 2009
