# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 30
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 09:20:17 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 11 19
BLACK 49 41
WHITE 3 11
BLACK 54 46
WHITE 14 21
BLACK 56 49
WHITE 10 17
BLACK 51 44
WHITE 13 20
BLACK 49 42
WHITE 20 28
BLACK 57 49
WHITE 12 20
BLACK 58 51
WHITE 19 26
BLACK 42 33
WHITE 20 27
BLACK 55 47
WHITE 11 19
BLACK 33 24
WHITE 27 34
BLACK 50 42
WHITE 15 22
BLACK 63 55
WHITE 34 41
BLACK 42 35
WHITE 9 16
BLACK 62 54
WHITE 22 29
BLACK 51 43
WHITE 6 14
BLACK 46 38
WHITE 1 9
BLACK 35 28
WHITE 29 36
BLACK 49 40
WHITE 16 25
BLACK 54 45
WHITE 25 34
BLACK 38 30
WHITE 2 10
BLACK 55 46
WHITE 26 35
BLACK 43 36
WHITE 34 42
BLACK 47 39
WHITE 19 27
BLACK 28 20
WHITE 42 49
BLACK 59 51
WHITE 21 29
BLACK 20 13
WHITE 17 26
BLACK 61 54
WHITE 9 16
BLACK 30 22
WHITE 29 37
BLACK 40 33
WHITE 37 46
BLACK 48 41
WHITE 49 56
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 09:20:18 GMT 2009
