# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 144
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:29:00 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 45
WHITE 16 24
BLACK 45 37
WHITE 0 8
BLACK 37 28
WHITE 24 32
BLACK 28 20
WHITE 11 20
BLACK 51 43
WHITE 2 11
BLACK 43 35
WHITE 8 16
BLACK 35 27
WHITE 20 27
BLACK 53 46
WHITE 1 8
BLACK 50 42
WHITE 8 17
BLACK 46 38
WHITE 9 18
BLACK 38 30
WHITE 10 19
BLACK 54 46
WHITE 3 10
BLACK 30 22
WHITE 13 22
BLACK 46 38
WHITE 4 13
BLACK 38 30
WHITE 11 20
BLACK 30 21
WHITE 12 21
BLACK 48 40
WHITE 5 12
BLACK 42 33
WHITE 14 23
BLACK 33 25
WHITE 16 25
BLACK 40 33
WHITE 6 14
BLACK 33 26
WHITE 17 26
BLACK 49 41
WHITE 32 41
BLACK 55 46
WHITE 10 17
BLACK 46 38
WHITE 17 24
BLACK 38 31
WHITE 22 31
BLACK 59 50
WHITE 41 50
BLACK 57 50
WHITE 24 32
BLACK 60 52
WHITE 13 22
BLACK 52 44
WHITE 32 40
BLACK 50 43
WHITE 19 28
BLACK 43 35
WHITE 26 35
BLACK 44 35
WHITE 28 35
BLACK 61 53
WHITE 12 19
BLACK 53 44
WHITE 35 44
BLACK 58 49
WHITE 40 49
BLACK 56 49
WHITE 18 26
BLACK 49 41
WHITE 19 28
BLACK 62 53
WHITE 44 53
BLACK 41 33
WHITE 53 60
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:29:01 EDT 2009
