# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 32
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 09:36:54 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 9 17
BLACK 51 44
WHITE 14 23
BLACK 50 42
WHITE 10 18
BLACK 57 50
WHITE 13 20
BLACK 54 46
WHITE 1 9
BLACK 50 41
WHITE 2 10
BLACK 42 33
WHITE 6 13
BLACK 55 47
WHITE 12 21
BLACK 63 54
WHITE 13 22
BLACK 54 45
WHITE 18 27
BLACK 47 39
WHITE 27 36
BLACK 44 35
WHITE 17 24
BLACK 62 54
WHITE 24 33
BLACK 41 34
WHITE 3 12
BLACK 54 47
WHITE 21 30
BLACK 53 44
WHITE 4 13
BLACK 34 27
WHITE 10 18
BLACK 60 51
WHITE 12 19
BLACK 59 50
WHITE 13 21
BLACK 39 30
WHITE 23 31
BLACK 46 39
WHITE 33 41
BLACK 48 40
WHITE 41 50
BLACK 27 20
WHITE 36 43
BLACK 30 21
WHITE 9 17
BLACK 45 36
WHITE 22 29
BLACK 20 11
WHITE 18 26
BLACK 36 29
WHITE 43 52
BLACK 47 38
WHITE 17 25
BLACK 40 32
WHITE 19 28
BLACK 51 43
WHITE 7 14
BLACK 35 27
WHITE 31 38
BLACK 44 37
WHITE 15 22
BLACK 29 20
WHITE 8 16
BLACK 21 13
WHITE 22 31
BLACK 61 54
WHITE 28 37
BLACK 54 47
WHITE 0 8
BLACK 47 38
WHITE 37 44
BLACK 20 12
WHITE 52 59
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 09:36:56 GMT 2009
