# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 18
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 07:54:52 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 12 19
BLACK 51 43
WHITE 11 18
BLACK 59 51
WHITE 14 22
BLACK 55 47
WHITE 22 30
BLACK 54 45
WHITE 6 14
BLACK 63 55
WHITE 13 22
BLACK 43 35
WHITE 19 28
BLACK 50 41
WHITE 30 37
BLACK 49 40
WHITE 3 11
BLACK 41 34
WHITE 5 12
BLACK 56 49
WHITE 18 25
BLACK 34 26
WHITE 14 21
BLACK 53 46
WHITE 8 16
BLACK 52 44
WHITE 25 33
BLACK 26 18
WHITE 9 17
BLACK 35 27
WHITE 17 24
BLACK 46 38
WHITE 16 25
BLACK 60 52
WHITE 12 19
BLACK 57 50
WHITE 25 34
BLACK 27 20
WHITE 28 36
BLACK 51 43
WHITE 21 29
BLACK 18 11
WHITE 0 9
BLACK 50 41
WHITE 36 45
BLACK 49 42
WHITE 33 40
BLACK 38 30
WHITE 45 52
BLACK 44 36
WHITE 34 41
BLACK 20 13
WHITE 52 59
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 07:54:53 GMT 2009
