# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 115
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 17:09:41 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 53 44
WHITE 11 19
BLACK 44 37
WHITE 20 28
BLACK 37 28
WHITE 19 28
BLACK 54 45
WHITE 28 36
BLACK 45 36
WHITE 13 22
BLACK 36 29
WHITE 22 29
BLACK 51 42
WHITE 29 37
BLACK 42 34
WHITE 10 19
BLACK 34 26
WHITE 19 26
BLACK 52 43
WHITE 37 45
BLACK 43 36
WHITE 45 54
BLACK 63 54
WHITE 26 35
BLACK 36 27
WHITE 35 43
BLACK 50 43
WHITE 14 23
BLACK 61 53
WHITE 15 22
BLACK 59 52
WHITE 22 30
BLACK 27 20
WHITE 23 31
BLACK 57 50
WHITE 9 18
BLACK 58 51
WHITE 30 37
BLACK 20 11
WHITE 4 11
BLACK 43 36
WHITE 31 39
BLACK 36 29
WHITE 39 47
BLACK 54 47
WHITE 18 27
BLACK 62 54
WHITE 37 45
BLACK 52 45
WHITE 11 19
BLACK 29 22
WHITE 27 36
BLACK 45 36
WHITE 8 17
BLACK 54 45
WHITE 19 27
BLACK 36 27
WHITE 17 25
BLACK 60 52
WHITE 25 32
BLACK 52 44
WHITE 32 40
BLACK 49 40
WHITE 3 12
BLACK 50 41
WHITE 12 20
BLACK 27 20
WHITE 5 13
BLACK 22 13
WHITE 6 13
BLACK 20 13
WHITE 1 9
BLACK 13 4
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 17:09:42 EDT 2009
