# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 61
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:15:37 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 11 18
BLACK 40 32
WHITE 18 26
BLACK 32 25
WHITE 26 34
BLACK 56 48
WHITE 34 43
BLACK 50 43
WHITE 20 29
BLACK 25 16
WHITE 9 16
BLACK 43 35
WHITE 16 24
BLACK 35 26
WHITE 24 32
BLACK 59 50
WHITE 32 40
BLACK 49 40
WHITE 29 37
BLACK 26 17
WHITE 10 17
BLACK 55 46
WHITE 37 46
BLACK 53 46
WHITE 17 26
BLACK 61 53
WHITE 26 34
BLACK 62 55
WHITE 13 20
BLACK 50 42
WHITE 15 22
BLACK 55 47
WHITE 14 23
BLACK 51 43
WHITE 34 43
BLACK 52 43
WHITE 20 29
BLACK 42 35
WHITE 29 38
BLACK 47 38
WHITE 8 16
BLACK 38 30
WHITE 23 30
BLACK 54 45
WHITE 30 38
BLACK 45 38
WHITE 22 31
BLACK 38 31
WHITE 4 12
BLACK 60 51
WHITE 5 14
BLACK 48 41
WHITE 16 24
BLACK 57 49
WHITE 24 32
BLACK 41 32
WHITE 12 20
BLACK 53 45
WHITE 14 21
BLACK 31 22
WHITE 3 11
BLACK 58 50
WHITE 11 19
BLACK 49 41
WHITE 19 27
BLACK 51 44
WHITE 20 29
BLACK 63 55
WHITE 29 37
BLACK 44 37
WHITE 21 29
BLACK 45 36
WHITE 27 36
BLACK 43 36
WHITE 29 36
BLACK 40 33
WHITE 6 13
BLACK 22 13
WHITE 36 44
BLACK 13 5
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:15:39 EDT 2009
