# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 157
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:36:09 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 19
BLACK 48 40
WHITE 11 18
BLACK 40 32
WHITE 19 26
BLACK 32 24
WHITE 26 34
BLACK 24 16
WHITE 9 16
BLACK 49 40
WHITE 34 42
BLACK 51 42
WHITE 18 26
BLACK 40 32
WHITE 13 21
BLACK 32 24
WHITE 26 35
BLACK 42 35
WHITE 21 28
BLACK 35 28
WHITE 14 21
BLACK 28 21
WHITE 16 25
BLACK 21 12
WHITE 3 12
BLACK 24 16
WHITE 12 19
BLACK 16 9
WHITE 2 9
BLACK 50 41
WHITE 19 27
BLACK 41 32
WHITE 25 32
BLACK 52 43
WHITE 32 41
BLACK 43 34
WHITE 27 34
BLACK 53 44
WHITE 41 49
BLACK 56 49
WHITE 9 17
BLACK 44 35
WHITE 17 26
BLACK 35 26
WHITE 8 16
BLACK 26 17
WHITE 10 17
BLACK 49 40
WHITE 34 42
BLACK 40 32
WHITE 42 51
BLACK 58 51
WHITE 16 24
BLACK 32 25
WHITE 24 32
BLACK 25 16
WHITE 32 40
BLACK 16 8
WHITE 1 8
BLACK 51 42
WHITE 40 48
BLACK 57 48
WHITE 4 12
BLACK 42 33
WHITE 12 19
BLACK 33 24
WHITE 17 24
BLACK 48 40
WHITE 24 33
BLACK 40 33
WHITE 15 23
BLACK 33 24
WHITE 19 28
BLACK 24 16
WHITE 28 36
BLACK 16 9
WHITE 0 9
BLACK 54 45
WHITE 36 45
BLACK 55 46
WHITE 45 52
BLACK 59 52
WHITE 9 18
BLACK 46 37
WHITE 18 25
BLACK 37 28
WHITE 25 34
BLACK 28 19
WHITE 34 42
BLACK 19 10
WHITE 23 30
BLACK 10 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:36:11 EDT 2009
