# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 152
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:31:40 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 45
WHITE 16 24
BLACK 45 36
WHITE 0 8
BLACK 36 28
WHITE 24 32
BLACK 50 42
WHITE 8 16
BLACK 28 20
WHITE 11 20
BLACK 42 34
WHITE 1 8
BLACK 34 26
WHITE 2 11
BLACK 26 18
WHITE 9 18
BLACK 51 43
WHITE 8 17
BLACK 43 35
WHITE 10 19
BLACK 54 46
WHITE 3 10
BLACK 53 45
WHITE 12 21
BLACK 35 26
WHITE 17 26
BLACK 45 37
WHITE 4 12
BLACK 37 29
WHITE 20 29
BLACK 46 38
WHITE 29 38
BLACK 49 42
WHITE 10 17
BLACK 42 34
WHITE 11 20
BLACK 55 46
WHITE 13 22
BLACK 34 25
WHITE 16 25
BLACK 46 37
WHITE 5 13
BLACK 37 29
WHITE 20 29
BLACK 48 41
WHITE 32 41
BLACK 59 51
WHITE 12 20
BLACK 51 43
WHITE 14 23
BLACK 43 35
WHITE 26 35
BLACK 60 53
WHITE 6 14
BLACK 61 54
WHITE 17 24
BLACK 54 46
WHITE 18 26
BLACK 46 39
WHITE 19 27
BLACK 58 50
WHITE 41 50
BLACK 57 50
WHITE 20 28
BLACK 39 30
WHITE 21 30
BLACK 62 55
WHITE 13 20
BLACK 50 42
WHITE 35 42
BLACK 55 47
WHITE 38 47
BLACK 53 44
WHITE 14 21
BLACK 44 36
WHITE 27 36
BLACK 56 48
WHITE 7 14
BLACK 48 41
WHITE 20 27
BLACK 63 54
WHITE 47 54
BLACK 41 33
WHITE 54 61
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:31:41 EDT 2009
