# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 8
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 04:19:24 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 11 20
BLACK 52 43
WHITE 9 16
BLACK 43 35
WHITE 16 25
BLACK 49 40
WHITE 1 9
BLACK 55 46
WHITE 14 21
BLACK 35 26
WHITE 25 32
BLACK 26 17
WHITE 10 19
BLACK 50 42
WHITE 19 28
BLACK 51 43
WHITE 6 14
BLACK 54 45
WHITE 2 10
BLACK 45 37
WHITE 3 11
BLACK 46 39
WHITE 21 30
BLACK 58 51
WHITE 9 16
BLACK 59 50
WHITE 30 37
BLACK 57 49
WHITE 20 29
BLACK 43 34
WHITE 15 22
BLACK 34 27
WHITE 28 35
BLACK 50 43
WHITE 11 18
BLACK 17 9
WHITE 14 21
BLACK 39 31
WHITE 4 11
BLACK 27 18
WHITE 35 44
BLACK 18 11
WHITE 5 14
BLACK 42 35
WHITE 44 51
BLACK 35 27
WHITE 51 58
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 04:19:25 GMT 2009
