# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 159
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:38:10 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 48 40
WHITE 10 18
BLACK 40 32
WHITE 19 27
BLACK 32 24
WHITE 27 35
BLACK 24 16
WHITE 9 16
BLACK 49 40
WHITE 35 43
BLACK 50 43
WHITE 18 27
BLACK 40 32
WHITE 27 35
BLACK 32 24
WHITE 12 20
BLACK 24 17
WHITE 8 17
BLACK 43 34
WHITE 20 27
BLACK 34 27
WHITE 35 43
BLACK 52 43
WHITE 16 25
BLACK 27 18
WHITE 17 26
BLACK 18 9
WHITE 2 9
BLACK 43 34
WHITE 25 32
BLACK 34 25
WHITE 32 40
BLACK 25 16
WHITE 9 16
BLACK 51 42
WHITE 40 48
BLACK 57 48
WHITE 26 34
BLACK 42 33
WHITE 34 42
BLACK 33 24
WHITE 42 51
BLACK 58 51
WHITE 16 25
BLACK 24 16
WHITE 25 34
BLACK 16 8
WHITE 1 8
BLACK 48 40
WHITE 13 20
BLACK 40 32
WHITE 14 21
BLACK 32 24
WHITE 34 43
BLACK 24 16
WHITE 43 50
BLACK 59 50
WHITE 20 28
BLACK 16 9
WHITE 0 9
BLACK 50 41
WHITE 21 29
BLACK 41 32
WHITE 29 37
BLACK 32 24
WHITE 28 36
BLACK 24 16
WHITE 9 16
BLACK 51 42
WHITE 36 45
BLACK 54 45
WHITE 16 24
BLACK 42 33
WHITE 24 33
BLACK 45 36
WHITE 37 44
BLACK 53 44
WHITE 33 41
BLACK 36 27
WHITE 41 49
BLACK 56 49
WHITE 15 23
BLACK 27 18
WHITE 8 16
BLACK 18 9
WHITE 23 30
BLACK 9 0
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:38:12 EDT 2009
