# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 60
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:15:08 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 52 44
WHITE 13 21
BLACK 44 36
WHITE 10 17
BLACK 36 29
WHITE 20 29
BLACK 59 52
WHITE 29 37
BLACK 49 42
WHITE 37 44
BLACK 53 44
WHITE 21 30
BLACK 42 34
WHITE 30 37
BLACK 44 37
WHITE 17 25
BLACK 34 25
WHITE 11 18
BLACK 25 18
WHITE 14 22
BLACK 18 9
WHITE 2 9
BLACK 56 49
WHITE 22 30
BLACK 37 30
WHITE 9 18
BLACK 49 41
WHITE 18 27
BLACK 30 21
WHITE 15 23
BLACK 52 44
WHITE 27 35
BLACK 44 35
WHITE 23 31
BLACK 61 52
WHITE 8 17
BLACK 57 49
WHITE 31 39
BLACK 49 40
WHITE 3 12
BLACK 21 12
WHITE 5 12
BLACK 51 42
WHITE 39 47
BLACK 54 47
WHITE 12 21
BLACK 58 49
WHITE 17 25
BLACK 52 43
WHITE 25 33
BLACK 40 33
WHITE 21 29
BLACK 35 27
WHITE 29 37
BLACK 62 53
WHITE 37 45
BLACK 53 46
WHITE 45 53
BLACK 60 53
WHITE 1 9
BLACK 27 18
WHITE 9 18
BLACK 53 44
WHITE 18 27
BLACK 33 24
WHITE 6 14
BLACK 48 40
WHITE 4 11
BLACK 46 37
WHITE 11 20
BLACK 24 16
WHITE 14 22
BLACK 42 35
WHITE 27 36
BLACK 43 36
WHITE 20 28
BLACK 37 28
WHITE 22 29
BLACK 36 29
WHITE 0 9
BLACK 16 9
WHITE 7 15
BLACK 9 2
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:15:10 EDT 2009
