# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 84
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:56:05 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 54 45
WHITE 20 29
BLACK 45 36
WHITE 29 36
BLACK 48 41
WHITE 36 44
BLACK 51 44
WHITE 13 22
BLACK 41 33
WHITE 22 30
BLACK 33 26
WHITE 30 38
BLACK 26 18
WHITE 9 18
BLACK 49 40
WHITE 38 45
BLACK 52 45
WHITE 18 26
BLACK 44 35
WHITE 26 35
BLACK 60 52
WHITE 10 18
BLACK 58 49
WHITE 18 27
BLACK 52 44
WHITE 35 44
BLACK 53 44
WHITE 11 19
BLACK 40 32
WHITE 14 21
BLACK 32 25
WHITE 27 35
BLACK 44 35
WHITE 19 27
BLACK 25 17
WHITE 8 17
BLACK 35 28
WHITE 21 28
BLACK 45 38
WHITE 17 26
BLACK 38 29
WHITE 28 37
BLACK 29 21
WHITE 37 45
BLACK 21 14
WHITE 5 14
BLACK 50 43
WHITE 26 34
BLACK 43 34
WHITE 27 34
BLACK 55 47
WHITE 45 53
BLACK 62 53
WHITE 4 12
BLACK 63 54
WHITE 12 21
BLACK 57 50
WHITE 21 29
BLACK 50 43
WHITE 34 43
BLACK 47 39
WHITE 43 50
BLACK 59 50
WHITE 14 21
BLACK 39 30
WHITE 21 30
BLACK 61 52
WHITE 29 38
BLACK 49 42
WHITE 30 39
BLACK 56 48
WHITE 38 46
BLACK 53 46
WHITE 39 46
BLACK 42 35
WHITE 46 53
BLACK 35 28
WHITE 53 61
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 16:56:06 EDT 2009
