# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 94
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:58:41 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 11 19
BLACK 40 33
WHITE 20 28
BLACK 33 26
WHITE 19 26
BLACK 56 48
WHITE 13 21
BLACK 55 47
WHITE 28 37
BLACK 49 42
WHITE 21 28
BLACK 62 55
WHITE 37 45
BLACK 52 45
WHITE 26 34
BLACK 54 46
WHITE 28 36
BLACK 45 36
WHITE 10 18
BLACK 36 27
WHITE 18 27
BLACK 48 41
WHITE 34 41
BLACK 50 41
WHITE 14 22
BLACK 41 32
WHITE 27 36
BLACK 32 25
WHITE 36 44
BLACK 53 44
WHITE 22 30
BLACK 25 17
WHITE 8 17
BLACK 42 34
WHITE 17 25
BLACK 34 25
WHITE 9 17
BLACK 25 16
WHITE 30 38
BLACK 47 38
WHITE 17 25
BLACK 16 8
WHITE 1 8
BLACK 38 31
WHITE 25 33
BLACK 31 22
WHITE 15 22
BLACK 58 49
WHITE 8 17
BLACK 57 50
WHITE 33 41
BLACK 50 41
WHITE 22 30
BLACK 41 32
WHITE 30 38
BLACK 32 25
WHITE 3 12
BLACK 25 16
WHITE 38 45
BLACK 16 9
WHITE 2 9
BLACK 46 37
WHITE 45 52
BLACK 61 52
WHITE 17 25
BLACK 37 30
WHITE 9 18
BLACK 30 23
WHITE 18 26
BLACK 23 14
WHITE 5 14
BLACK 44 37
WHITE 25 33
BLACK 37 30
WHITE 33 42
BLACK 51 42
WHITE 26 34
BLACK 30 21
WHITE 12 21
BLACK 52 44
WHITE 34 41
BLACK 44 37
WHITE 41 48
BLACK 37 30
WHITE 21 30
BLACK 42 35
WHITE 30 38
BLACK 35 27
WHITE 4 13
BLACK 59 51
WHITE 38 46
BLACK 55 46
WHITE 48 57
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 16:58:43 EDT 2009
