# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 92
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:58:11 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 52 43
WHITE 12 20
BLACK 43 34
WHITE 20 28
BLACK 34 25
WHITE 28 37
BLACK 25 18
WHITE 9 18
BLACK 48 40
WHITE 37 45
BLACK 54 45
WHITE 19 27
BLACK 45 37
WHITE 27 35
BLACK 37 29
WHITE 35 43
BLACK 50 43
WHITE 18 25
BLACK 29 22
WHITE 13 22
BLACK 40 33
WHITE 25 32
BLACK 33 25
WHITE 22 29
BLACK 25 17
WHITE 10 17
BLACK 53 46
WHITE 32 41
BLACK 46 38
WHITE 29 38
BLACK 43 35
WHITE 41 48
BLACK 57 48
WHITE 17 25
BLACK 35 28
WHITE 25 34
BLACK 28 19
WHITE 14 22
BLACK 19 12
WHITE 3 12
BLACK 55 47
WHITE 38 47
BLACK 49 40
WHITE 34 42
BLACK 51 42
WHITE 22 30
BLACK 42 34
WHITE 30 38
BLACK 62 53
WHITE 47 55
BLACK 34 27
WHITE 55 62
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 16:58:12 EDT 2009
