# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 127
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:19:40 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 48 40
WHITE 19 28
BLACK 40 32
WHITE 28 37
BLACK 32 24
WHITE 37 45
BLACK 52 45
WHITE 12 20
BLACK 24 16
WHITE 9 16
BLACK 45 36
WHITE 20 28
BLACK 36 27
WHITE 28 36
BLACK 27 18
WHITE 36 44
BLACK 51 44
WHITE 13 21
BLACK 18 9
WHITE 2 9
BLACK 44 35
WHITE 21 28
BLACK 35 28
WHITE 10 18
BLACK 28 19
WHITE 18 26
BLACK 19 10
WHITE 3 10
BLACK 49 40
WHITE 16 24
BLACK 40 32
WHITE 26 33
BLACK 32 25
WHITE 10 19
BLACK 25 16
WHITE 9 16
BLACK 50 41
WHITE 33 40
BLACK 41 32
WHITE 40 49
BLACK 56 49
WHITE 19 27
BLACK 32 25
WHITE 16 25
BLACK 49 40
WHITE 27 36
BLACK 40 32
WHITE 25 32
BLACK 53 44
WHITE 36 43
BLACK 44 35
WHITE 24 33
BLACK 35 26
WHITE 32 40
BLACK 26 17
WHITE 8 17
BLACK 54 45
WHITE 43 50
BLACK 57 50
WHITE 17 26
BLACK 45 36
WHITE 40 48
BLACK 36 27
WHITE 26 35
BLACK 27 18
WHITE 48 57
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:19:41 EDT 2009
