# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 150
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:30:53 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 43
WHITE 16 24
BLACK 43 35
WHITE 0 8
BLACK 51 44
WHITE 24 32
BLACK 35 27
WHITE 8 16
BLACK 44 36
WHITE 1 8
BLACK 36 28
WHITE 8 17
BLACK 28 20
WHITE 11 20
BLACK 27 20
WHITE 13 20
BLACK 50 42
WHITE 2 11
BLACK 42 34
WHITE 4 13
BLACK 34 27
WHITE 20 27
BLACK 54 46
WHITE 9 18
BLACK 46 38
WHITE 10 19
BLACK 49 40
WHITE 3 10
BLACK 38 30
WHITE 11 20
BLACK 30 22
WHITE 13 22
BLACK 40 33
WHITE 5 13
BLACK 33 25
WHITE 16 25
BLACK 53 45
WHITE 12 21
BLACK 55 47
WHITE 14 23
BLACK 45 38
WHITE 6 14
BLACK 48 40
WHITE 17 24
BLACK 38 31
WHITE 22 31
BLACK 40 33
WHITE 24 33
BLACK 47 39
WHITE 10 17
BLACK 60 52
WHITE 13 22
BLACK 39 30
WHITE 21 30
BLACK 52 43
WHITE 14 21
BLACK 43 35
WHITE 7 14
BLACK 35 26
WHITE 17 26
BLACK 59 52
WHITE 32 40
BLACK 61 53
WHITE 19 28
BLACK 52 44
WHITE 20 29
BLACK 53 45
WHITE 40 48
BLACK 57 48
WHITE 33 40
BLACK 44 37
WHITE 28 37
BLACK 45 38
WHITE 29 38
BLACK 48 41
WHITE 21 28
BLACK 41 34
WHITE 25 34
BLACK 63 54
WHITE 14 21
BLACK 58 51
WHITE 18 25
BLACK 51 43
WHITE 34 43
BLACK 54 46
WHITE 37 46
BLACK 56 48
WHITE 21 29
BLACK 62 54
WHITE 40 49
BLACK 48 40
WHITE 49 56
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:30:55 EDT 2009
