# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 78
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:27:33 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 11 19
BLACK 52 44
WHITE 19 27
BLACK 54 47
WHITE 27 34
BLACK 61 52
WHITE 34 41
BLACK 48 41
WHITE 13 22
BLACK 47 39
WHITE 10 18
BLACK 53 46
WHITE 18 27
BLACK 63 54
WHITE 27 35
BLACK 44 35
WHITE 22 30
BLACK 39 30
WHITE 12 21
BLACK 30 21
WHITE 14 21
BLACK 51 43
WHITE 9 17
BLACK 35 27
WHITE 17 25
BLACK 27 20
WHITE 25 34
BLACK 41 34
WHITE 21 30
BLACK 60 51
WHITE 8 17
BLACK 62 53
WHITE 30 38
BLACK 57 48
WHITE 38 47
BLACK 54 47
WHITE 17 25
BLACK 34 25
WHITE 15 23
BLACK 52 45
WHITE 4 12
BLACK 59 52
WHITE 2 9
BLACK 47 39
WHITE 23 30
BLACK 39 30
WHITE 12 19
BLACK 20 11
WHITE 19 27
BLACK 11 4
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:27:34 EDT 2009
