# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 19
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 08:02:29 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 8 16
BLACK 50 42
WHITE 12 19
BLACK 48 40
WHITE 19 26
BLACK 42 34
WHITE 13 21
BLACK 55 47
WHITE 4 12
BLACK 53 44
WHITE 11 18
BLACK 58 50
WHITE 5 13
BLACK 50 41
WHITE 14 22
BLACK 52 43
WHITE 3 11
BLACK 43 35
WHITE 10 17
BLACK 44 36
WHITE 13 20
BLACK 61 52
WHITE 15 23
BLACK 51 42
WHITE 16 25
BLACK 57 48
WHITE 20 27
BLACK 52 44
WHITE 7 15
BLACK 40 33
WHITE 23 30
BLACK 33 24
WHITE 26 33
BLACK 47 39
WHITE 33 42
BLACK 44 37
WHITE 22 31
BLACK 63 55
WHITE 12 20
BLACK 39 30
WHITE 25 32
BLACK 49 40
WHITE 9 16
BLACK 60 53
WHITE 21 29
BLACK 59 52
WHITE 15 22
BLACK 37 28
WHITE 17 24
BLACK 41 33
WHITE 29 36
BLACK 30 21
WHITE 1 8
BLACK 21 14
WHITE 6 13
BLACK 14 6
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 08:02:30 GMT 2009
