# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 149
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:30:42 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 21
BLACK 48 40
WHITE 21 29
BLACK 40 32
WHITE 11 20
BLACK 56 48
WHITE 13 21
BLACK 32 24
WHITE 21 30
BLACK 48 40
WHITE 20 28
BLACK 57 48
WHITE 29 38
BLACK 48 41
WHITE 38 46
BLACK 53 46
WHITE 28 37
BLACK 46 37
WHITE 30 37
BLACK 60 53
WHITE 37 46
BLACK 53 46
WHITE 14 23
BLACK 61 53
WHITE 10 18
BLACK 49 42
WHITE 9 17
BLACK 24 17
WHITE 8 17
BLACK 40 32
WHITE 18 26
BLACK 58 49
WHITE 26 35
BLACK 42 35
WHITE 23 30
BLACK 32 24
WHITE 17 24
BLACK 35 26
WHITE 30 38
BLACK 49 40
WHITE 38 47
BLACK 54 47
WHITE 24 32
BLACK 41 32
WHITE 4 12
BLACK 62 54
WHITE 15 23
BLACK 50 41
WHITE 12 20
BLACK 59 50
WHITE 20 28
BLACK 50 42
WHITE 28 37
BLACK 46 37
WHITE 5 13
BLACK 51 43
WHITE 23 30
BLACK 37 30
WHITE 3 11
BLACK 52 44
WHITE 13 20
BLACK 53 45
WHITE 11 19
BLACK 26 19
WHITE 6 14
BLACK 54 46
WHITE 20 28
BLACK 63 54
WHITE 28 37
BLACK 44 37
WHITE 14 22
BLACK 40 33
WHITE 1 8
BLACK 41 34
WHITE 8 16
BLACK 42 35
WHITE 22 31
BLACK 43 36
WHITE 31 38
BLACK 45 38
WHITE 16 24
BLACK 33 24
WHITE 7 14
BLACK 54 45
WHITE 2 10
BLACK 19 10
WHITE 0 9
BLACK 10 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:30:44 EDT 2009
