# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 147
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:30:09 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 20 29
BLACK 40 32
WHITE 11 20
BLACK 56 48
WHITE 29 36
BLACK 32 24
WHITE 36 45
BLACK 52 45
WHITE 10 17
BLACK 24 17
WHITE 8 17
BLACK 45 36
WHITE 17 24
BLACK 59 52
WHITE 24 33
BLACK 36 27
WHITE 20 27
BLACK 48 40
WHITE 33 40
BLACK 49 40
WHITE 14 22
BLACK 40 32
WHITE 27 36
BLACK 57 48
WHITE 36 43
BLACK 50 43
WHITE 22 30
BLACK 58 49
WHITE 30 38
BLACK 32 24
WHITE 38 46
BLACK 53 46
WHITE 13 20
BLACK 60 53
WHITE 9 17
BLACK 24 17
WHITE 15 23
BLACK 48 40
WHITE 20 28
BLACK 49 41
WHITE 28 37
BLACK 46 37
WHITE 4 12
BLACK 51 42
WHITE 23 31
BLACK 52 44
WHITE 31 39
BLACK 61 52
WHITE 39 47
BLACK 54 47
WHITE 12 21
BLACK 62 54
WHITE 21 29
BLACK 52 45
WHITE 29 38
BLACK 45 38
WHITE 3 11
BLACK 53 45
WHITE 11 18
BLACK 54 46
WHITE 18 27
BLACK 63 54
WHITE 5 12
BLACK 40 32
WHITE 27 36
BLACK 43 36
WHITE 12 20
BLACK 41 33
WHITE 20 28
BLACK 37 28
WHITE 2 10
BLACK 17 10
WHITE 1 10
BLACK 28 19
WHITE 10 19
BLACK 32 24
WHITE 19 26
BLACK 33 26
WHITE 7 15
BLACK 24 16
WHITE 6 14
BLACK 42 33
WHITE 14 22
BLACK 44 35
WHITE 22 30
BLACK 45 37
WHITE 30 37
BLACK 46 37
WHITE 15 22
BLACK 54 45
WHITE 0 9
BLACK 16 9
WHITE 22 31
BLACK 9 0
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:30:11 EDT 2009
