# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 151
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:31:09 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 20
BLACK 48 40
WHITE 20 29
BLACK 40 32
WHITE 29 36
BLACK 56 48
WHITE 10 18
BLACK 32 24
WHITE 11 20
BLACK 48 40
WHITE 36 44
BLACK 51 44
WHITE 18 26
BLACK 57 48
WHITE 26 34
BLACK 58 51
WHITE 20 28
BLACK 48 41
WHITE 34 41
BLACK 50 41
WHITE 13 21
BLACK 59 50
WHITE 21 29
BLACK 49 42
WHITE 29 36
BLACK 50 43
WHITE 36 43
BLACK 52 43
WHITE 28 37
BLACK 44 37
WHITE 14 22
BLACK 60 52
WHITE 22 30
BLACK 37 30
WHITE 9 16
BLACK 51 44
WHITE 16 25
BLACK 52 45
WHITE 25 33
BLACK 40 33
WHITE 15 23
BLACK 30 23
WHITE 3 11
BLACK 61 52
WHITE 4 12
BLACK 53 46
WHITE 12 21
BLACK 62 53
WHITE 21 29
BLACK 54 47
WHITE 29 37
BLACK 44 37
WHITE 6 14
BLACK 23 14
WHITE 5 14
BLACK 63 54
WHITE 11 19
BLACK 52 44
WHITE 2 11
BLACK 24 16
WHITE 19 27
BLACK 41 32
WHITE 27 35
BLACK 42 35
WHITE 11 19
BLACK 43 34
WHITE 19 28
BLACK 35 28
WHITE 7 15
BLACK 44 35
WHITE 14 22
BLACK 53 44
WHITE 22 31
BLACK 44 36
WHITE 15 22
BLACK 45 38
WHITE 31 38
BLACK 47 38
WHITE 0 9
BLACK 16 9
WHITE 22 30
BLACK 9 0
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 19:31:11 EDT 2009
