# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 14
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 07:35:47 GMT 2009
# Player 1: WHITE, 'Saqib', running on localhost
# Player 2: BLACK, 'dummy', running on localhost
START WHITE Saqib
START BLACK dummy
WHITE 9 17
BLACK 48 41
WHITE 11 19
BLACK 51 43
WHITE 15 22
BLACK 55 47
WHITE 7 15
BLACK 50 42
WHITE 14 23
BLACK 54 46
WHITE 10 18
BLACK 60 51
WHITE 4 11
BLACK 52 45
WHITE 6 14
BLACK 62 55
WHITE 22 29
BLACK 42 35
WHITE 17 26
BLACK 45 36
WHITE 1 10
BLACK 53 44
WHITE 0 9
BLACK 43 34
WHITE 14 21
BLACK 36 28
WHITE 8 16
BLACK 41 32
WHITE 15 22
BLACK 35 26
WHITE 16 24
BLACK 56 48
WHITE 19 28
BLACK 34 25
WHITE 11 20
BLACK 49 42
WHITE 12 19
BLACK 59 52
WHITE 28 37
BLACK 46 39
WHITE 23 31
BLACK 25 17
WHITE 21 30
BLACK 58 49
WHITE 9 16
BLACK 42 35
WHITE 3 11
BLACK 52 45
WHITE 19 27
BLACK 48 40
WHITE 29 38
BLACK 40 33
WHITE 16 25
BLACK 44 37
WHITE 20 28
BLACK 55 46
WHITE 13 21
BLACK 61 54
WHITE 25 34
BLACK 63 55
WHITE 30 37
BLACK 49 41
WHITE 21 29
BLACK 17 9
WHITE 28 35
BLACK 39 30
WHITE 11 20
BLACK 26 19
WHITE 35 43
BLACK 51 42
WHITE 18 25
BLACK 57 49
WHITE 10 19
BLACK 45 38
WHITE 27 36
BLACK 33 24
WHITE 36 44
BLACK 38 29
WHITE 44 51
BLACK 29 20
WHITE 2 9
BLACK 54 45
WHITE 5 14
BLACK 47 39
WHITE 14 23
BLACK 45 38
WHITE 37 44
BLACK 20 13
WHITE 9 17
BLACK 55 47
WHITE 51 59
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 07:35:49 GMT 2009
