# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 17
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 07:51:15 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 10 18
BLACK 50 42
WHITE 3 10
BLACK 52 45
WHITE 9 17
BLACK 42 33
WHITE 1 9
BLACK 45 36
WHITE 14 22
BLACK 51 43
WHITE 12 20
BLACK 59 51
WHITE 18 26
BLACK 49 42
WHITE 13 21
BLACK 60 52
WHITE 22 31
BLACK 53 44
WHITE 31 39
BLACK 36 29
WHITE 6 13
BLACK 56 49
WHITE 11 18
BLACK 49 41
WHITE 13 22
BLACK 48 40
WHITE 17 25
BLACK 41 34
WHITE 20 27
BLACK 29 22
WHITE 25 34
BLACK 42 35
WHITE 4 11
BLACK 54 47
WHITE 21 30
BLACK 52 45
WHITE 30 37
BLACK 44 37
WHITE 34 42
BLACK 35 26
WHITE 27 34
BLACK 63 54
WHITE 11 19
BLACK 37 29
WHITE 15 22
BLACK 26 17
WHITE 19 28
BLACK 45 37
WHITE 18 27
BLACK 43 34
WHITE 22 29
BLACK 58 49
WHITE 42 50
BLACK 40 32
WHITE 7 15
BLACK 51 44
WHITE 50 58
GAMEOVER 
WINNER WHITE
# Game ended: Tue Jan 27 07:51:16 GMT 2009
