# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 11
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 04:24:53 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'dummy', running on localhost
START WHITE dummy
START BLACK dummy
WHITE 11 18
BLACK 52 44
WHITE 12 21
BLACK 48 41
WHITE 5 12
BLACK 53 45
WHITE 15 22
BLACK 54 47
WHITE 21 28
BLACK 57 48
WHITE 8 16
BLACK 49 40
WHITE 6 15
BLACK 62 53
WHITE 4 11
BLACK 63 54
WHITE 28 35
BLACK 54 46
WHITE 14 21
BLACK 61 52
WHITE 0 8
BLACK 41 32
WHITE 10 19
BLACK 51 42
WHITE 9 17
BLACK 42 33
WHITE 11 20
BLACK 46 37
WHITE 3 11
BLACK 52 43
WHITE 35 42
BLACK 48 41
WHITE 2 10
BLACK 37 30
WHITE 18 27
BLACK 45 38
WHITE 22 29
BLACK 60 51
WHITE 29 36
BLACK 43 35
WHITE 21 28
BLACK 41 34
WHITE 13 21
BLACK 38 29
WHITE 17 24
BLACK 35 28
WHITE 21 28
BLACK 51 42
WHITE 7 14
BLACK 33 25
WHITE 10 18
BLACK 50 43
WHITE 18 26
BLACK 30 21
WHITE 16 25
BLACK 55 46
WHITE 1 10
BLACK 59 51
WHITE 25 33
BLACK 47 39
WHITE 10 18
BLACK 39 31
WHITE 33 40
BLACK 43 36
WHITE 27 34
BLACK 44 35
WHITE 26 33
BLACK 21 14
WHITE 34 43
BLACK 53 45
WHITE 33 42
BLACK 31 23
WHITE 24 33
BLACK 56 48
WHITE 43 50
BLACK 35 28
WHITE 40 49
BLACK 29 20
WHITE 15 22
BLACK 46 37
WHITE 42 51
BLACK 37 30
WHITE 12 21
BLACK 20 11
WHITE 18 25
BLACK 48 41
WHITE 22 31
BLACK 11 4
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 04:24:55 GMT 2009
