# Server version 0.04 running on socs-24.CS.McGill.CA:8123
# Game ID: 126
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 19:19:22 EDT 2009
# Player 1: WHITE, 'neural', running on localhost
# Player 2: BLACK, 'fixed', running on localhost
START WHITE neural
START BLACK fixed
WHITE 8 16
BLACK 52 44
WHITE 16 24
BLACK 44 37
WHITE 24 32
BLACK 37 29
WHITE 32 40
BLACK 49 40
WHITE 9 16
BLACK 29 20
WHITE 11 20
BLACK 40 33
WHITE 16 24
BLACK 33 24
WHITE 20 27
BLACK 50 42
WHITE 27 34
BLACK 42 33
WHITE 34 41
BLACK 48 41
WHITE 10 17
BLACK 33 25
WHITE 17 24
BLACK 25 17
WHITE 24 32
BLACK 41 32
WHITE 12 19
BLACK 17 9
WHITE 0 9
BLACK 53 44
WHITE 19 26
BLACK 32 25
WHITE 26 33
BLACK 25 18
WHITE 9 18
BLACK 44 36
WHITE 33 40
BLACK 36 27
WHITE 18 27
BLACK 51 43
WHITE 40 48
BLACK 57 48
WHITE 27 34
BLACK 43 34
WHITE 13 20
BLACK 34 26
WHITE 20 27
BLACK 26 18
WHITE 27 34
BLACK 18 10
WHITE 1 10
BLACK 54 47
WHITE 34 41
BLACK 48 41
WHITE 10 17
BLACK 41 32
WHITE 17 24
BLACK 47 39
WHITE 24 33
BLACK 32 25
WHITE 33 40
BLACK 25 16
WHITE 40 48
BLACK 39 30
WHITE 48 57
GAMEOVER 
WINNER WHITE
# Game ended: Sun Mar 22 19:19:24 EDT 2009
