# Server version 0.04 running on lab2-9.CS.McGill.CA:8123
# Game ID: 68
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Sun Mar 22 16:23:51 EDT 2009
# Player 1: WHITE, 'fixed', running on localhost
# Player 2: BLACK, 'neural', running on localhost
START WHITE fixed
START BLACK neural
WHITE 12 21
BLACK 48 41
WHITE 21 29
BLACK 41 32
WHITE 29 36
BLACK 54 47
WHITE 36 45
BLACK 52 45
WHITE 11 19
BLACK 53 44
WHITE 19 27
BLACK 60 53
WHITE 27 34
BLACK 61 52
WHITE 13 21
BLACK 55 46
WHITE 34 42
BLACK 51 42
WHITE 21 29
BLACK 32 25
WHITE 14 21
BLACK 56 48
WHITE 29 37
BLACK 44 37
WHITE 21 29
BLACK 59 51
WHITE 29 38
BLACK 45 38
WHITE 10 19
BLACK 52 45
WHITE 15 23
BLACK 47 39
WHITE 23 31
BLACK 38 31
WHITE 9 16
BLACK 25 16
WHITE 19 28
BLACK 37 28
WHITE 8 17
BLACK 51 43
WHITE 17 25
BLACK 63 55
WHITE 25 34
BLACK 43 34
WHITE 3 11
BLACK 62 54
WHITE 4 13
BLACK 16 8
WHITE 11 19
BLACK 8 1
GAMEOVER 
WINNER BLACK
# Game ended: Sun Mar 22 16:23:52 EDT 2009
