# Server version 0.04 running on socs-1.CS.McGill.CA:8123
# Game ID: 16
# Board class: breakthrough.BTBoard
# Timeout: 5000
# Date: Tue Jan 27 07:41:08 GMT 2009
# Player 1: WHITE, 'dummy', running on localhost
# Player 2: BLACK, 'Saqib', running on localhost
START WHITE dummy
START BLACK Saqib
WHITE 11 19
BLACK 50 43
WHITE 15 22
BLACK 52 44
WHITE 10 18
BLACK 49 40
WHITE 3 10
BLACK 53 46
WHITE 19 27
BLACK 62 53
WHITE 18 25
BLACK 59 50
WHITE 25 34
BLACK 40 33
WHITE 10 19
BLACK 54 47
WHITE 27 35
BLACK 33 25
WHITE 2 10
BLACK 46 39
WHITE 12 20
BLACK 39 30
WHITE 14 21
BLACK 50 42
WHITE 20 27
BLACK 48 41
WHITE 9 17
BLACK 41 33
WHITE 17 26
BLACK 58 49
WHITE 8 16
BLACK 53 46
WHITE 13 20
BLACK 61 54
WHITE 22 31
BLACK 49 40
WHITE 35 42
BLACK 56 48
WHITE 0 9
BLACK 57 49
WHITE 20 29
BLACK 30 23
WHITE 16 24
BLACK 43 34
WHITE 42 49
BLACK 44 35
WHITE 6 13
BLACK 33 26
WHITE 24 32
BLACK 23 15
WHITE 9 17
BLACK 60 52
WHITE 21 30
BLACK 25 18
WHITE 4 12
BLACK 18 11
WHITE 19 28
BLACK 26 17
WHITE 5 14
BLACK 15 6
GAMEOVER 
WINNER BLACK
# Game ended: Tue Jan 27 07:41:09 GMT 2009
